date_recolte,WT,Ligne,Position,code,Geno,poids_moy_1_fruit,poids_recolte,Nb_fruits_recoltes,poids_recoltes_avec_sol,Nb_fruits_recoltes_avec_sol
9/14/2018,WW,1,1,36,X0036,0.107,8.590,79.981,11.919,110.981
9/14/2018,WD,2,1,36,X0036,0.095,0.667,7.000,1.239,13.000
9/5/2018,WW,9,14,36,X0036,NA,,0.000,NA,1.000
9/5/2018,WD,10,14,36,X0036,0.190,,0.000,0.380,2.000
7/26/2018,WW,1,2,48,X0048,0.211,1.480,7.000,4.863,23.000
7/26/2018,WD,2,2,48,X0048,0.130,0.520,4.000,3.640,28.000
7/26/2018,WW,7,55,48,X0048,0.178,3.380,19.000,4.981,28.000
7/26/2018,WD,8,55,48,X0048,0.218,3.920,18.000,8.276,38.000
8/27/2018,WW,1,3,156,X0156,0.211,22.190,105.066,25.780,122.066
8/27/2018,WD,2,3,156,X0156,0.162,23.350,143.781,26.273,161.781
8/30/2018,WW,7,85,156,X0156,0.170,19.930,116.960,22.486,131.960
8/30/2018,WD,8,85,156,X0156,0.174,17.410,99.828,18.805,107.828
dd/mm/aaa,WW,1,4,337,X0337,0.224,19.900,88.919,22.809,101.919
9/11/2018,WD,2,4,337,X0337,0.216,13.620,63.000,16.430,76.000
dd/mm/aaa,WW,7,54,337,X0337,0.135,10.020,74.332,10.155,75.332
9/13/2018,WD,8,54,,X0337,0.182,21.170,116.064,31.749,174.064
dd/mm/aaa,WW,1,5,342,X0342,0.132,7.930,60.167,10.830,82.167
9/11/2018,WD,2,5,342,X0342,0.122,15.930,130.147,17.032,139.147
dd/mm/aaa,WW,5,83,342,X0342,0.130,7.580,58.488,9.654,74.488
9/12/2018,WD,6,83,342,X0342,0.090,13.200,146.993,14.547,161.993
9/7/2018,WW,1,6,344,X0344,0.098,18.500,188.776,20.460,208.776
9/7/2018,WD,2,6,344,X0344,0.105,21.470,205.258,22.516,215.258
9/20/2018,WW,9,45,344,X0344,0.116,20.810,180.017,24.278,210.017
9/20/2018,WD,10,45,344,X0344,0.100,21.070,209.861,21.472,213.861
8/1/2018,WW,1,7,352,X0352,0.155,0.310,2.000,0.310,2.000
8/1/2018,WD,2,7,352,X0352,0.203,5.070,25.000,5.678,28.000
8/1/2018,WW,7,29,352,X0352,NA,,0.000,0.000,0.000
8/1/2018,WD,8,29,352,X0352,0.143,0.740,5.182,1.882,13.182
9/7/2018,WW,1,8,380,X0380,NA,,0.000,0.000,0.000
9/11/2018,WD,2,8,380,X0380,0.109,1.090,10.000,2.616,24.000
9/26/2018,WW,7,59,380,X0380,0.104,5.520,52.975,6.562,62.975
9/26/2018,WD,8,59,380,X0380,0.093,9.990,106.959,12.232,130.959
10/8/2018,WW,1,9,395,X0395,0.147,4.840,33.000,5.573,38.000
10/8/2018,WD,2,9,395,X0395,0.180,24.310,134.906,26.833,148.906
9/26/2018,WW,9,64,395,X0395,0.148,7.620,51.486,8.064,54.486
9/26/2018,WD,10,64,395,X0395,0.105,14.040,133.460,14.671,139.460
9/7/2018,WD,2,10,404,X0404,0.124,47.210,379.502,50.693,407.502
9/26/2018,WW,7,41,404,X0404,0.134,25.660,191.493,27.134,202.493
9/26/2018,WD,8,41,404,X0404,0.114,17.310,151.842,19.020,166.842
8/14/2018,WW,1,11,421,X0421,0.120,3.610,30.000,4.091,34.000
8/14/2018,WD,2,11,421,X0421,0.146,27.180,186.676,34.023,233.676
