line,position,nb_point_filtered,nb_point_fruit_detected,nb_fruit_detected
03,02,24998,1072,0
02,18,22485,798,0
01,01,36419,417,0
04,03,31661,105,0
04,02,21463,0,0
01,07,20947,0,0
01,03,31782,0,0
02,15,46395,15398,0
01,17,4890,0,0
02,04,46529,3993,0
01,14,23251,0,0
02,11,89908,19276,0
03,09,53974,3383,0
04,01,105479,37462,0
02,20,86964,12842,0
04,20,125221,31528,0
01,12,27356,67,0
03,20,81039,8133,0
02,01,38385,1554,0
02,09,51630,5875,0
03,07,60143,6715,0
01,04,33638,9,0
03,12,127957,14110,0
03,11,126285,39478,0
04,04,55257,1475,0
01,16,62478,7985,0
03,16,137034,29154,0
02,16,52649,9427,0
03,04,110610,23373,0
02,13,34911,2161,0
02,12,37871,197,0
01,19,45469,492,0
04,13,41796,2976,0
04,19,132398,36044,0
01,09,31668,94,0
04,12,102503,17606,0
02,19,69608,7260,0
02,03,30778,135,0
03,13,26109,0,0
02,05,94393,22940,0
04,09,47749,747,0
01,18,36867,0,0
03,17,116263,14042,0
02,17,52569,706,0
01,02,5430,0,0
04,16,78887,16628,0
04,06,152809,41970,0
04,08,55404,14,0
01,08,22061,0,0
03,19,133188,23428,0
01,10,24216,1420,0
01,15,77888,12921,0
03,10,188325,53956,0
01,13,15744,0,0
03,03,40305,0,0
02,06,104811,12930,0
03,15,249869,116700,0
02,02,13347,4,0
01,11,48443,3578,0
03,06,206939,75405,0
01,06,107259,8424,0
02,14,100171,25637,0
03,14,148048,36055,0
04,15,158956,65313,0
03,05,250866,146793,0
02,08,31530,2,0
04,10,122967,36790,0
04,07,56463,7374,0
03,08,57272,931,0
04,14,87809,18905,0
03,01,74183,7762,0
02,07,24816,89,0
04,05,90661,31096,0
01,05,108796,18719,0
04,11,68929,19201,0
02,10,122041,24426,0
01,20,62129,7124,0
04,17,62669,3397,0
