basename,date,line,position,nb_point_fruit_detected,nb_fruit_detected,volumes
pc_2018_08_02_L01_P10_filtered_pred.txt,2018_08_02,01,10,986,9,6350.3962290557765
pc_2018_08_02_L03_P07_filtered_pred.txt,2018_08_02,03,07,60,0,0
pc_2018_08_02_L04_P05_filtered_pred.txt,2018_08_02,04,05,601,8,4999.152208776733
pc_2018_08_02_L02_P20_filtered_pred.txt,2018_08_02,02,20,1019,12,7230.549214580825
pc_2018_08_02_L04_P15_filtered_pred.txt,2018_08_02,04,15,1976,27,20766.764786037882
pc_2018_08_02_L04_P17_filtered_pred.txt,2018_08_02,04,17,37,0,0
pc_2018_08_02_L03_P10_filtered_pred.txt,2018_08_02,03,10,2501,37,22437.571035330297
pc_2018_08_02_L02_P16_filtered_pred.txt,2018_08_02,02,16,988,13,9079.968295776893
pc_2018_08_02_L02_P14_filtered_pred.txt,2018_08_02,02,14,1214,9,3536.3912671016387
pc_2018_08_02_L04_P20_filtered_pred.txt,2018_08_02,04,20,4129,56,36507.40913192617
pc_2018_08_02_L02_P08_filtered_pred.txt,2018_08_02,02,08,4518,59,34941.42128084977
pc_2018_08_02_L03_P08_filtered_pred.txt,2018_08_02,03,08,431,2,1801.922045253144
pc_2018_08_02_L03_P14_filtered_pred.txt,2018_08_02,03,14,1094,17,13118.796204294484
pc_2018_08_02_L01_P09_filtered_pred.txt,2018_08_02,01,09,0,0,0
pc_2018_08_02_L04_P01_filtered_pred.txt,2018_08_02,04,01,3072,42,31213.663912575532
pc_2018_08_02_L01_P20_filtered_pred.txt,2018_08_02,01,20,9481,193,85174.59568202922
pc_2018_08_02_L01_P19_filtered_pred.txt,2018_08_02,01,19,8003,177,139555.18043967328
pc_2018_08_02_L04_P07_filtered_pred.txt,2018_08_02,04,07,312,2,2795.406296858301
pc_2018_08_02_L01_P15_filtered_pred.txt,2018_08_02,01,15,20,0,0
pc_2018_08_02_L03_P11_filtered_pred.txt,2018_08_02,03,11,13209,192,76365.9905319279
pc_2018_08_02_L01_P06_filtered_pred.txt,2018_08_02,01,06,0,0,0
pc_2018_08_02_L01_P11_filtered_pred.txt,2018_08_02,01,11,10320,195,130324.21708003391
pc_2018_08_02_L01_P13_filtered_pred.txt,2018_08_02,01,13,91,0,0
pc_2018_08_02_L04_P11_filtered_pred.txt,2018_08_02,04,11,1240,12,2523.4034219680416
pc_2018_08_02_L04_P14_filtered_pred.txt,2018_08_02,04,14,373,0,0
pc_2018_08_02_L03_P05_filtered_pred.txt,2018_08_02,03,05,29320,479,206101.65407149444
pc_2018_08_02_L01_P12_filtered_pred.txt,2018_08_02,01,12,393,6,7904.273456711657
pc_2018_08_02_L03_P13_filtered_pred.txt,2018_08_02,03,13,21,0,0
pc_2018_08_02_L02_P18_filtered_pred.txt,2018_08_02,02,18,330,2,2354.492830755326
pc_2018_08_02_L03_P20_filtered_pred.txt,2018_08_02,03,20,15020,291,163178.83076096885
pc_2018_08_02_L04_P02_filtered_pred.txt,2018_08_02,04,02,922,6,4694.875951924322
pc_2018_08_02_L04_P13_filtered_pred.txt,2018_08_02,04,13,51,0,0
